,pH,Ca,Mg,P,K,N,C,d15N,d13C,C/N,DistEqu,moisture,MAP,MAT,PET,Fire,NPP,SoilC_from_database
S129,5.57,3.6582,2.4772,1.1843,2.7345,0.7353,11.59,1.76,-27.41,15.76,37.9017,1.9114,2.7076,12.4417,1.7741,2.0043,0.005,6.591
S012,3.63,2.8925,2.6337,1.3712,2.0366,0.3786,9.4,-0.37,-28.54,24.83,24.7787,1.524,3.2984,22.7833,1.956,2.0043,0.207,3.917
S131,4.77,2.9797,2.0052,1.4941,2.0707,0.6308,9.87,-0.46,-27.26,15.65,51.9107,1.782,2.752,6.2167,1.7071,0.4771,0.24,5.288
S137,4.26,3.1036,1.8711,1.6845,1.8768,0.2344,4.16,1.41,-28.2,17.75,57.0987,1.8326,2.7574,2.6167,1.6347,2.0043,0.518,5.155
S139,6.58,3.7966,3.2491,0.856,2.8546,1.3266,22.58,-1.61,-25.86,17.02,38.4697,1.9394,2.8585,14.6417,1.816,2.0043,0.547,4.946
S140,4.31,3.1439,2.5511,0.9681,2.2168,0.6732,21.58,-3.51,-28.32,32.06,38.7943,1.9394,2.8445,15.125,1.816,2.0043,0.5394,4.946
S141,5.61,2.9349,2.66,1.2213,2.5388,0.8749,13.3864,-0.6082,-28.2498,15.30,36.2122,1.9074,2.77,16.33,1.8058,2,0.363,0.61
S142,3.33,2.2983,1.778,0.637,2.0228,1.1027,19.85,0.88,-28.66,18.00,8.7611,2.1757,3.4515,19.6583,1.8354,2.0043,0.936,7.589
S143,5.08,3.0406,2.5044,-0.5957,2.5123,0.4115,5.41,3.14,-26.21,13.15,8.4868,2.1757,3.5131,26.2833,1.8354,0.6021,0.936,8.437
S148,4.15,2.741,2.0375,-0.0362,2.1775,0.4832,6.75,1.4,-27.82,13.97,8.7574,2.1757,3.5339,21.4167,1.8354,2.0043,0.936,7.589
S149,4.61,3.0531,2.2374,0.1509,2.3883,0.2323,7.77,-2.73,-27.42,33.45,37.8138,1.9344,2.9425,11.2167,1.6848,2.0043,0.044,6.141
S150,5.84,3.2391,2.6174,-1.0905,2.1996,0.3115,3.56,0.53,-30.04,11.43,37.849,1.6854,2.6911,15.4167,1.8535,1.7076,0.221,4.435
S159,3.57,2.7913,1.9878,0.9106,1.8479,0.3928,10.13,3.24,-27.71,25.79,48.9895,2.1305,3.07,3.5333,1.6151,2.0043,0.438,8.321
S162,4.39,3.0544,2.2018,0.8866,2.0811,0.6498,10.64,0.58,-26.99,16.37,68.6232,1.2431,2.3766,-11.3333,1.4081,2.0043,0.204,6.842
S165,4.68,3.0004,2.0773,-0.2937,2.4758,0.2765,5.12,-0.13,-25.42,18.52,22.1989,1.6533,2.8506,14.6667,1.7852,2.0043,0.207,6.564
S168,2.76,2.2545,2.4237,1.5098,2.6563,0.9188,28.73,-3.93,-28.06,31.27,43.1805,1.9978,3.1844,6.9583,1.7275,2.0043,0.805,8.541
S169,3.48,2.9236,2.3037,1.7602,2.4975,1.0418,23.9289,-3.9868,-28.5464,22.97,42.7642,2.1679,3.5769,10.7,1.6651,2.0043,1.154,8.13
S171,2.98,3.3706,2.41,1.4367,2.5284,0.7657,22.5873,-0.8716,-28.9819,29.50,42.3024,2.1634,3.4,8.85,1.7043,2,0.585,0.91
S174,5.39,3.0014,2.2657,-0.1959,1.9642,0.2494,4.9,0.4,-27.17,19.65,17.0231,2.0219,3.2801,21.175,1.9823,0.3979,0.904,6.422
S177,4.44,2.5673,1.877,-0.0914,1.6768,0.0737,1.5973,1.8499,-24.3617,21.67,17.0177,2.0219,3.2819,21.325,1.9823,0.3979,0.904,6.422
S017,4.293333333,166.2366604,90.79626741,2.360719219,185.62444,0.129151265,1.996881353,2.051407826,-24.77921498,15.46,9.2641,1.66,3.14,26.69,2.12,0,0.52,0.49
S181,4.9,3.4066,2.6321,1.1422,2.614,0.8806,18.38,0.4,-29.8,20.87,42.833,2.1289,3.2502,8.7917,1.7058,2.0043,1.119,8.44
S186,4.08,2.9081,2.265,0.3572,2.5849,0.6934,15.76,0.11,-28.96,22.73,43.093,2.0978,3.1741,10.325,1.6566,1.8921,1.137,7.07
S187,5.0144,3.4163,2.5501,1.3711,2.5176,0.8154,17.984,0.214,-27.605,22.06,39.9572,1.8682,2.7536,4.6167,1.6973,2.0043,0.301,4.536
S188,5.0722,3.4014,2.5304,1.3926,2.4897,0.6159,7.8,-0.44,-26.87,12.66,42.3841,2.0858,2.8716,2.325,1.6194,2.0043,0.552,3.694
S190,5.06,2.6885,2.1941,-0.7383,2.3505,0.2315,3.23,3.16,-24.84,13.95,11.4795,1.8652,2.9786,20.7417,1.9036,0.699,0.618,4.726
S193,4.58,2.3975,2.1903,0.2471,2.2628,0.2012,3.17,1.59,-23.92,15.76,11.4841,1.8652,2.9805,20.6583,1.9036,0.1761,0.618,4.726
S194,4.7,2.3349,1.673,-0.9128,1.7909,0.048,0.632,3.3353,-23.7104,13.17,19.8833,1.5812,2.7482,17.6833,1.8538,0.1761,0.217,3.068
S195,4.79,2.0447,2.03,0.7574,2.1777,0.1152,1.5642,4.2921,-24.8075,13.58,19.9333,1.6006,2.71,18.73,1.8536,0.301,0.217,0.58
S196,3.6,2.5019,1.7631,0.7901,2.3395,0.3456,9.73,0.36,-28.35,28.15,36.0361,2.0379,3.0674,14.4667,1.8209,2.0043,0.696,4.047
S197,5.13,2.9031,2.1812,-0.6486,1.6768,0.2731,5.26,0.76,-28.28,19.26,35.9794,2.0542,3.0689,14.5583,1.8213,2.0043,0.674,4.009
S199,5.78,2.9937,2.4153,0.5843,2.4436,0.144,2.5232,4.0307,-25.6833,17.52,18.5289,1.8695,3.0398,25.4667,2.0026,0.1761,0.698,4.549
S203,3.08,2.144,1.8128,1.355,2.3697,0.7195,12.11,1.98,-29.22,16.83,5.4059,2.1302,3.2869,21.5833,1.9955,2.0043,1.162,5.216
S204,3.54,2.9026,2.5699,0.6208,2.3874,1.089,27.28,3.28,-27.51,25.05,28.2104,2.1217,3.2127,15.6,1.8232,2.4786,0.915,8.078
S208,5.63,3.4906,2.5553,1.269,2.1988,1.8666,27.7533,1.6469,-28.0983,14.87,58.1569,2.0125,2.7672,6.1167,1.656,2.0043,0.573,8.911
S020,4.35,3.4376,2.5225,1.7931,2.7107,1.2521,26.56,0.79,-26.67,21.21,43.378,2.1046,2.9455,2.825,1.5769,2.0043,0.588,4.248
S211,5.7,3.6749,2.9367,1.0697,2.5246,0.8214,14.1962,-1.5242,-27.2685,17.28,30.4629,1.9822,3.3054,14.775,1.9194,1.0414,0.536,7
S212,5.64,3.645,2.7064,1.3856,2.4829,0.9989,14.66,-1.182,-26.9896,14.68,30.4502,1.9822,3.3185,14.2083,1.9194,2.0043,0.536,7
S214,5.39,3.0739,2.3965,1.3256,2.2799,0.2702,3.5604,-0.575,-29.0073,13.18,30.3521,1.8884,3.2555,22.475,2.0252,0.7782,0.599,3.542
S215,5.46,2.5015,2.3,1.2554,2.1218,0.21,2.6674,-1.5217,-27.578,12.70,30.5737,2.0449,3.29,21.63,1.8157,0.301,0.599,0.77
S217,5.16,2.1875,2.04,-0.0809,2.1676,0.8358,24.7409,3.296,-24.1435,29.60,18.3284,1.6679,2.88,19.84,1.8854,0.301,0.254,0.62
S223,5.4,2.435,1.7298,-0.1914,1.4412,0.0632,0.817,2.5792,-24.2188,12.93,18.0717,1.7742,2.8082,21.85,1.89,0.1761,0.123,3.596
S231,3.38,1.7064,2.0784,-0.1201,1.9795,0.3273,4.9779,2.5945,-29.9911,15.21,0.0588,2.1541,3.5821,25.8333,2.1111,2.0043,1.045,6.922
S234,2.77,2.1985,2.5078,1.881,2.5897,0.8187,28.9348,0.4651,-29.6657,35.34,69.1691,1.7755,2.618,-1.6,1.5003,2.0043,0.323,12.181
S235,3.42,2.1991,2.85,1.6065,2.3966,0.8358,24.7409,2.0932,-28.6422,29.60,66.6703,1.9211,2.71,0.13,1.5544,2,0.411,1.17
S236,5.25,3.034,3.8523,1.701,2.549,1.3293,35.1811,0.1302,-27.5567,26.47,66.1742,1.8963,2.7016,0.9167,1.5732,2.0043,0.411,14.347
S238,2.98,1.9955,2.4245,1.4767,2.1529,0.4567,13.153,0.1656,-27.7022,28.80,68.9678,1.7684,2.6712,-2.1083,1.4887,2.0043,0.275,6.559
S023,4.76,3.0441,2.49,1.3126,2.6452,0.7945,12.083,0.7314,-27.7564,15.21,43.2099,2.0543,2.93,4.48,1.6686,2,0.588,0.74
S243,2.98,1.7351,2.1591,1.3184,1.8794,0.3162,12.5017,0.983,-27.9942,39.54,67.856,1.9082,2.6561,-1.275,1.504,2.0043,0.331,6.948
S247,5.44,1.9324,3.1796,1.5786,2.2352,0.5886,17.7804,-0.7373,-26.5344,30.21,37.7481,1.9344,2.9355,11.3333,1.6848,2.0043,0.044,6.141
S248,5.78,2.27,3.58,1.8897,2.53,0.8814,19.4839,0.2259,-26.2538,22.11,36.231,1.6741,2.72,5.6,1.7354,2,0.028,0.73
S249,2.97,1.3375,2.042,1.0443,1.7807,0.9659,33.3903,-3.0345,-28.6971,34.57,57.8779,1.9505,2.7931,4.875,1.6489,2.0043,0.579,6.484
S251,3.32,2.6509,2.4445,1.0331,2.2097,1.3497,22.6,0.8,-28.92,16.74,4.5536,2.0862,3.5701,24.4333,2.113,2.0043,1.004,8.343
S252,3.68,2.6448,2.3273,0.415,2.1956,0.6962,9.69,5.67,-28.78,13.92,4.573,2.0862,3.5737,24.8667,2.113,2.0043,1.004,8.343
S258,5.7,2.3596,3.5482,1.0939,2.2508,0.3012,5.42,3.28,-26.59,17.99,50.4458,1.8217,2.7642,6.7083,1.6808,2.0043,0.532,5.656
S260,4.2,2.0732,2.9793,1.1369,2.2974,0.3543,7.7,2.25,-26.45,21.73,49.3764,2.0228,2.8987,5.6917,1.6075,2.0043,0.548,5.375
S261,5.38,2.4086,3.4742,0.0789,2.4648,0.9047,15.4,0.89,-26.67,17.02,41.26,1.9802,2.8887,5.375,1.6006,2.0043,0.526,6.244
S262,3.14,2.4946,2.9111,1.8606,2.9255,0.5914,20.7,0.63,-27.92,35.00,54.815,1.9259,2.8062,4.875,1.5947,2.0043,0.504,12.479
S263,4,2.0766,3.29,2.0871,2.7746,,,0.9294,-28.4635,,54.8453,1.9259,2.81,4.88,1.5947,2,0.504,1.1
S268,6.42,3.0918,2.6685,0.7623,2.2238,0.5032,8.0945,2.7958,-25.1283,16.09,33.5215,1.8052,2.8657,10.7667,1.8226,1.3222,0.494,6.418
S269,6.42,3.0918,2.6685,0.7623,2.2238,0.2367,3.8051,3.6082,-23.9314,16.08,33.3962,0.1583,1.9031,21,1.9786,1.3222,0.002,2.498
S027,5.64,3.3293,2.397,1.6139,2.4953,0.5369,7.56,1.15,-27.1,14.08,43.2781,2.0371,2.9154,4.7167,1.6361,1.0414,0.549,3.997
S029,5.67,3.3354,2.5153,1.7439,2.5889,0.4502,5.5,2.63,-28.47,12.22,42.7418,1.969,2.8768,6.0167,1.6758,2.0043,0.597,5.342
S030,5.95,3.5601,2.3809,1.5817,2.5502,0.8376,11.29,1.63,-27.63,13.48,43.1281,2.0943,2.8993,5.0083,1.6499,2.0043,0.595,4.097
S031,4.87,2.5982,2.69,1.8618,2.8182,1.5799,26.0527,1.3189,-26.2632,16.49,43.3766,2.1046,2.96,1.88,1.5769,2,0.588,0.63
S032,3.65,3.0209,2.3186,1.0515,2.3704,0.9086,14.07,1.86,-26.89,15.49,43.1004,2.069,2.9031,5.4333,1.6686,1.0414,0.595,5.427
S036,6.75,2.4567,2.85,0.2082,2.4279,1.6334,17.0695,3.3618,-27.5968,10.45,21.2102,1.7506,3.02,25.3,2.1005,2,0.564,0.8
S037,5.18,3.1606,1.9479,1.8468,2.0831,0.75,13.13,0.21,-27.49,17.51,43.2885,2.1415,3.1878,4.0583,1.6274,2.0043,0.581,8.907
S041,4.13,2.8204,1.99,1.5213,2.3622,0.9908,17.39,0.01,-27.21,17.55,24.1626,2.1606,3.6208,7.4167,1.7958,1.0414,1.166,4.349
S043,6.49,2.27,2.73,1.7307,2.6706,0.6079,8.6392,2.6155,-26.9825,14.21,38.34,1.7954,2.54,7.52,1.6299,1.699,0.519,0.44
S044,6.76,3.5907,2.4946,2.1072,2.5798,0.5777,7.6,2.63,-28.53,13.16,37.43,1.9838,3.1031,15.9917,1.8624,1.7076,0.539,5.868
S045,4.27,2.9612,2.83,1.2311,2.3439,1.6113,28.9297,0.934,-29.381,17.95,18.3167,1.4982,3.42,23.03,2.0607,2,0.506,0.74
S049,3.83,2.7909,2.5253,0.5639,2.0603,0.7644,13.52,0.61,-28.97,17.69,18.321,1.4982,3.4228,23.0333,2.0607,2.0043,0.506,5.497
S052,7.08,3.6075,2.2315,1.4156,2.6741,0.3705,8.65,3.08,-15.03,23.35,30.1366,1.6505,2.3263,19.725,1.7761,0.7782,0.124,2.682
S053,7.06,3.5966,2.14,1.3284,2.587,0.5731,12.5238,-0.738,-19.0804,21.85,30.7324,1.5859,2.34,13.54,1.794,0.699,0.124,0.44
S056,2.67,2.0292,1.9142,0.8678,1.9678,0.5018,12.98,-0.06,-28.78,25.87,5.4357,2.1652,3.2918,22.5083,1.8637,1.8808,1.089,4.033
S058,3.16,2.0922,1.7734,1.0915,2.0945,0.5017,9.12,3.8,-28.42,18.18,5.3053,2.1727,3.3341,22.9167,1.8806,2.0043,1.029,5.978
S061,2.92,3.4682,1.95,1.2723,2.2358,0.8166,15.2566,2.521,-28.4942,18.68,5.3057,2.1727,3.34,22.91,1.8806,2,1.029,0.78
S062,4.97,3.136,2.5077,0.1531,2.4164,0.4798,7.82,0.8,-27.27,16.30,37.7322,1.962,2.9058,14.5417,1.7828,1.4914,0.951,7.663
S063,3.69,2.4526,1.8531,0.6133,2.4353,0.6575,12.39,1.16,-27.5,18.84,37.4883,1.9675,3.2634,10.075,1.7731,2.0043,0.951,7.615
S068,4.15,2.1258,1.652,1.1604,1.9568,0.3173,4.57,3.5,-24.64,14.40,20.0186,1.4112,2.7143,18.5417,1.8914,0.1761,0.109,3.44
S069,3.52,3.6554,1.26,1.0364,1.6259,0.2581,3.5541,5.6593,-28.6745,13.77,3.3536,2.0069,3.26,23.71,1.9921,2,0.952,0.8
S070a,3.37,3.4082,1.69,0.8539,1.6825,0.2127,2.7293,7.1155,-29.0796,12.83,3.3673,2.0069,3.26,23.68,1.9921,2,0.952,0.8
S072,6.19,2.8103,1.8987,1.797,1.5831,0.0829,1.03,0.72,-27.55,12.42,29.7352,2.0112,3.1418,20.2917,1.9531,2.0043,0.535,5.235
S073,3.5,2.631,2.4154,1.4067,2.5795,1.1765,31.03,-1.66,-28.99,26.37,44.0744,1.9036,3.4479,9.1167,1.619,2.0043,0.804,5.265
S075,5.46,3.3476,2.15,0.2318,2.0955,0.3125,6.7093,3.6334,-27.2418,21.47,41.0832,2.1687,3.14,8.58,1.6578,2,0.526,0.98
S079,5.2,3.457,2.27,-0.0023,2.1478,0.5512,9.5964,2.2718,-28.1041,17.41,40.13,2.1124,3.18,9.15,1.5998,2,0.531,1.06
S081,4.92,3.0784,2.4201,0.8834,2.1962,0.5448,8.88,1.53,-27.85,16.30,40.1269,2.1124,3.1626,8.45,1.5998,2.0043,0.531,11.483
S085,4.16,2.6564,2.19,1.7592,2.3668,0.296,7.1359,-3.5279,-27.2542,24.11,41.1976,2.1687,3.13,5.17,1.6578,2,0.526,0.98
S089,4.92,3.0996,2.3205,2.081,2.3259,0.3167,7.05,0.13,-27.26,22.26,42.7813,1.7784,2.8774,5.9667,1.5273,2.0043,0.56,5.273
S092,4.21,3.2853,2.4954,1.3857,2.5644,0.4527,8.48,2.68,-27.43,18.73,54.4811,1.7989,2.6107,4.6583,1.6512,2.0043,0.5,11.97
S094,4.4,3.3517,2.4501,1.709,2.4755,0.6082,12.74,1.65,-27.41,20.95,54.4795,1.7989,2.6107,4.6583,1.6512,2.0043,0.5,11.97
S096,4.88,3.3408,2.5582,1.6415,2.4122,0.9568,18.27,0.65,-27.41,19.09,44.8326,2.0657,2.9479,5.4833,1.5499,2.0043,0.804,11.121
S097,3.39,1.9698,1.4411,0.3013,1.4937,0.1652,2.61,2.41,-29.78,15.80,2.982,1.8899,3.3141,2.64,2.1577,2.0043,0.997,5.112
S098,3.87,2.0155,1.4769,-0.173,1.5575,0.2163,3.04,2.98,-27.82,14.05,6.425,2.1665,3.5425,23.8333,2.1072,2.0043,1.142,6.457
S099,3.81,2.6597,1.36,-0.2102,1.4127,0.3303,5.0624,2.4754,-28.0017,15.33,6.4178,2.1665,3.54,23.83,2.1072,2,1.142,0.81